event_time,read_time,diff
1723174527716465,1723174527716495,30
1723174527717406,1723174527717424,18
1723174527717406,1723174527717424,18
1723174527717406,1723174527717425,19
1723174527718406,1723174527718424,18
1723174527718406,1723174527718424,18
1723174527718406,1723174527718425,19
1723174527719425,1723174527719453,28
1723174527719425,1723174527719454,29
1723174527720426,1723174527720454,28
1723174527720426,1723174527720454,28
1723174527720426,1723174527720455,29
1723174527721425,1723174527721454,29
1723174527721425,1723174527721455,30
1723174527721425,1723174527721455,30
1723174527722408,1723174527722427,19
1723174527722408,1723174527722427,19
1723174527722408,1723174527722428,20
1723174527723433,1723174527723461,28
1723174527723433,1723174527723462,29
1723174527723433,1723174527723462,29
1723174527724429,1723174527724457,28
1723174527724429,1723174527724457,28
1723174527724429,1723174527724458,29
1723174527725436,1723174527725464,28
1723174527725436,1723174527725465,29
1723174527725436,1723174527725465,29
1723174527726465,1723174527726494,29
1723174527726465,1723174527726495,30
1723174527726465,1723174527726495,30
1723174527727417,1723174527727439,22
1723174527727417,1723174527727439,22
1723174527727417,1723174527727440,23
1723174527728409,1723174527728429,20
1723174527728409,1723174527728429,20
1723174527728409,1723174527728429,20
1723174527729413,1723174527729455,42
1723174527729413,1723174527729456,43
1723174527729413,1723174527729456,43
1723174527730420,1723174527730442,22
1723174527730420,1723174527730442,22
1723174527730420,1723174527730443,23
1723174527731429,1723174527731456,27
1723174527731429,1723174527731457,28
1723174527732443,1723174527732467,24
1723174527732443,1723174527732468,25
1723174527732443,1723174527732469,26
1723174527733405,1723174527733422,17
1723174527733405,1723174527733423,18
1723174527733405,1723174527733423,18
1723174527734409,1723174527734430,21
1723174527734409,1723174527734431,22
1723174527734409,1723174527734431,22
1723174527735412,1723174527735433,21
1723174527735412,1723174527735434,22
1723174527735412,1723174527735434,22
1723174527736413,1723174527736435,22
1723174527736413,1723174527736435,22
1723174527736413,1723174527736436,23
1723174527737412,1723174527737435,23
1723174527737412,1723174527737436,24
1723174527737412,1723174527737436,24
1723174527738415,1723174527738438,23
1723174527738415,1723174527738439,24
1723174527738415,1723174527738439,24
1723174527739406,1723174527739425,19
1723174527739406,1723174527739425,19
1723174527739406,1723174527739425,19
1723174527740414,1723174527740437,23
1723174527740414,1723174527740437,23
1723174527740414,1723174527740437,23
1723174527741419,1723174527741442,23
1723174527741419,1723174527741443,24
1723174527741419,1723174527741443,24
1723174527742419,1723174527742442,23
1723174527742419,1723174527742443,24
1723174527742419,1723174527742443,24
1723174527743455,1723174527743474,19
1723174527743455,1723174527743475,20
