event_time,read_time,diff
1723174595481418,1723174595481481,63
1723174595481418,1723174595481482,64
1723174595481418,1723174595481482,64
1723174595482420,1723174595482485,65
1723174595482420,1723174595482486,66
1723174595482420,1723174595482486,66
1723174595483420,1723174595483482,62
1723174595483420,1723174595483483,63
1723174595483420,1723174595483483,63
1723174595484421,1723174595484489,68
1723174595484421,1723174595484490,69
1723174595484421,1723174595484491,70
1723174595485419,1723174595485485,66
1723174595485419,1723174595485486,67
1723174595485419,1723174595485486,67
1723174595486418,1723174595486481,63
1723174595486418,1723174595486481,63
1723174595486418,1723174595486482,64
1723174595487432,1723174595487510,78
1723174595487432,1723174595487511,79
1723174595487432,1723174595487511,79
1723174595488417,1723174595488479,62
1723174595488417,1723174595488479,62
1723174595488417,1723174595488480,63
1723174595489418,1723174595489480,62
1723174595489418,1723174595489480,62
1723174595489418,1723174595489481,63
1723174595490416,1723174595490479,63
1723174595490416,1723174595490480,64
1723174595490416,1723174595490480,64
1723174595491416,1723174595491477,61
1723174595491416,1723174595491477,61
1723174595491416,1723174595491478,62
1723174595492418,1723174595492480,62
1723174595492418,1723174595492481,63
1723174595492418,1723174595492481,63
1723174595493419,1723174595493484,65
1723174595493419,1723174595493485,66
1723174595493419,1723174595493485,66
1723174595494417,1723174595494482,65
1723174595494417,1723174595494483,66
1723174595494417,1723174595494483,66
1723174595495418,1723174595495480,62
1723174595495418,1723174595495481,63
1723174595495418,1723174595495482,64
1723174595496423,1723174595496492,69
1723174595496423,1723174595496492,69
1723174595496423,1723174595496493,70
1723174595497444,1723174595497507,63
1723174595497444,1723174595497508,64
1723174595497444,1723174595497508,64
1723174595498425,1723174595498490,65
1723174595498425,1723174595498491,66
1723174595498425,1723174595498492,67
1723174595499423,1723174595499487,64
1723174595499423,1723174595499488,65
1723174595499423,1723174595499488,65
1723174595500424,1723174595500489,65
1723174595500424,1723174595500489,65
1723174595500424,1723174595500490,66
1723174595501427,1723174595501504,77
1723174595501427,1723174595501504,77
1723174595501427,1723174595501505,78
1723174595502430,1723174595502498,68
1723174595502430,1723174595502499,69
1723174595502430,1723174595502499,69
1723174595503425,1723174595503481,56
1723174595503425,1723174595503482,57
1723174595503425,1723174595503482,57
1723174595504414,1723174595504463,49
1723174595504414,1723174595504463,49
1723174595504414,1723174595504463,49
1723174595505417,1723174595505465,48
1723174595505417,1723174595505465,48
1723174595505417,1723174595505466,49
1723174595506419,1723174595506468,49
1723174595506419,1723174595506468,49
1723174595506419,1723174595506469,50
1723174595507418,1723174595507467,49
1723174595507418,1723174595507468,50
1723174595507418,1723174595507468,50
1723174595508420,1723174595508468,48
1723174595508420,1723174595508468,48
1723174595509417,1723174595509468,51
1723174595509417,1723174595509468,51
1723174595509417,1723174595509469,52
1723174595510430,1723174595510491,61
1723174595510430,1723174595510492,62
1723174595511422,1723174595511488,66
1723174595511422,1723174595511488,66
1723174595511422,1723174595511489,67
1723174595512422,1723174595512486,64
1723174595512422,1723174595512487,65
1723174595513421,1723174595513482,61
1723174595513421,1723174595513483,62
1723174595514420,1723174595514483,63
1723174595514420,1723174595514484,64
1723174595515423,1723174595515488,65
1723174595515423,1723174595515488,65
1723174595516429,1723174595516503,74
1723174595516429,1723174595516504,75
1723174595517413,1723174595517478,65
1723174595517413,1723174595517479,66
1723174595517413,1723174595517479,66
1723174595518420,1723174595518487,67
1723174595518420,1723174595518488,68
1723174595518420,1723174595518488,68
1723174595519438,1723174595519496,58
1723174595519438,1723174595519497,59
1723174595519438,1723174595519497,59
1723174595520421,1723174595520475,54
1723174595520421,1723174595520475,54
1723174595520421,1723174595520475,54
1723174595521419,1723174595521467,48
1723174595521419,1723174595521467,48
1723174595521419,1723174595521467,48
1723174595522417,1723174595522465,48
1723174595522417,1723174595522465,48
1723174595522417,1723174595522466,49
1723174595523420,1723174595523470,50
1723174595523420,1723174595523471,51
1723174595523420,1723174595523471,51
1723174595524421,1723174595524470,49
1723174595524421,1723174595524471,50
1723174595524421,1723174595524471,50
1723174595525417,1723174595525468,51
1723174595525417,1723174595525468,51
1723174595525417,1723174595525468,51
1723174595526419,1723174595526469,50
1723174595526419,1723174595526470,51
1723174595526419,1723174595526470,51
1723174595527421,1723174595527470,49
1723174595527421,1723174595527470,49
1723174595527421,1723174595527471,50
1723174595528421,1723174595528469,48
1723174595528421,1723174595528470,49
1723174595528421,1723174595528470,49
1723174595529421,1723174595529476,55
1723174595529421,1723174595529477,56
1723174595529421,1723174595529477,56
1723174595530420,1723174595530470,50
